00001,0
00002,1
00003,2
00004,2
00005,2
00006,2
00007,2
00008,2
00009,3
00010,3
00011,3
00012,3
00013,3
00014,3
00015,2
00016,3
00017,3
00018,3
00019,3
00020,3
00021,3
00022,3
00023,2
00024,2
00025,2
00026,3
00027,1
00028,2
00029,2
00030,2
00031,2
00032,2
00033,2
00034,2
00035,3
00036,3
00037,3
00038,3
00039,3
00040,3
00041,2
00042,3
00043,3
00044,3
00045,3
00046,3
00047,3
00048,2
00049,2
00050,2
00051,3
00052,1
00053,1
00054,1
00055,1
00056,1
00057,1
00058,1
00059,1
00060,1
00061,1
00062,1
00063,1
00064,1
00065,1
00066,1
00067,1
00068,1
00069,1
00070,1
00071,1
